x,z,ship,looted
1936,-4752,1,0
640,-4080,0,0
1328,-3184,0,0
4512,-3184,1,0
2672,-2848,1,0
384,-2192,1,0
3232,-1888,1,0
4544,-1200,1,0
1360,-896,1,0
3200,-576,1,0
1664,-224,0,0
3920,-240,0,0
