x,z,ship,looted
1632,5152,0,1
48,5520,0,0
1344,5504,0,0
2976,5488,1,1
2320,5808,0,0
2256,6160,0,0
2608,6176,0,1
3904,6160,1,0
704,6496,0,0
4592,6464,0,0
96,7440,1,0
688,7440,1,0
2352,7424,1,0
1360,7776,0,0
4848,7792,1,0
2304,8048,1,0
1088,8400,1,0
352,8704,1,0
1008,8752,0,0
96,9040,1,0
1056,9360,1,0
2944,9296,0,0
2000,9952,1,0
3248,10000,1,0
4576,9936,1,0
