x,z,ship,looted
8400,-4800,0,0
10000,-4784,0,0
8080,-4160,0,0
9648,-4096,0,0
6816,-3744,0,0
8704,-3792,0,0
9392,-3504,1,0
9344,-2784,0,0
5200,-2464,1,0
6784,-2176,0,0
7120,-2224,0,0
9280,-2176,0,0
8992,-1824,1,0
9008,-1552,0,0
9360,-1552,0,0
6496,-304,1,0
