x,z,ship,looted
-3424,5168,0,0
-4080,5520,0,0
-4384,5840,1,0
-1888,6784,0,0
-608,6784,1,0
-2208,7456,1,0
-544,7392,0,0
-3120,7728,1,0
-2496,7728,0,0
-592,7776,0,0
-3472,8400,0,0
-1872,8416,1,0
-1920,8656,1,0
-2160,8992,1,0
-1280,9616,0,0
-2192,9968,0,0
